URN#18	seq00001
HE578840.1_MO-EI-79	seq00079
HE578838.1_MO-EI-27	seq00080
HE578827.1_MO-NI-027	seq00081
HE578875.1_MO-NI-024	seq00082
HE650786.1_MO-NI-019	seq00083
HE657550.1_MO-EI-18	seq00084
HE650775.1_MO-EI-19	seq00085
HE578842.1_MO-NWI-16	seq00086
SRR18092178	seq00087
SRR12887204	seq00088
SRR12887205	seq00089
SRR12887170	seq00090
FJ842873.1_91T59	seq00091
EU055565.1_WJ25	seq00092
EU055566.1_WJ32	seq00093
DRR059891	seq00094
DRR445891	seq00095
DRR445897	seq00096
SRR18092169	seq00097
SRR18092173	seq00098
SRR18092184	seq00099
SRR18092285	seq00100
SRR21640535	seq00101
SRR21640536	seq00102
SRR6384779	seq00103
SRR6669137	seq00104
SRR6669139	seq00105
SRR6669140	seq00106
SRR6669142	seq00107
SRR6669143	seq00108
SRR6669144	seq00109
SRR6669148	seq00110
SRR6669149	seq00111
SRR6669150	seq00112
SRR6669153	seq00113
SRR6669165	seq00114
SRR6669167	seq00115
SRR6669168	seq00116
SRR6669188	seq00117
SRR6669190	seq00118
SRR6669192	seq00119
EF616489.2_LP6	seq00120
FJ842871.1_92M3	seq00121
AB520831.1_OS99-G-7A	seq00122
AB607336.1_84R-62B	seq00123
EU055560.1_LP4	seq00124
EU055561.1_LP5	seq00125
EU055563.1_WJ7	seq00126
EU055564.1_WJ22	seq00127
EU055567.1_YC21	seq00128
HE578865.1_MO-NWI-75	seq00129
HE578864.1_MO-NWI-60	seq00130
74L2	seq00131
75A49	seq00132
78T6	seq00133
79A2	seq00134
85A12	seq00135
92L6	seq00136
92M2	seq00137
ZN07	seq00138
SSID60	seq00139
15L1_2	seq00140
XWSCF1	seq00141
XWSCF3	seq00142
XWSCF4	seq00143
FJ842872.1_ZN11	seq00144
DRR445894	seq00145
SRR24675058	seq00146
FJ842877.1_SEF6	seq00147
DRR413353	seq00148
SRR12887176	seq00149
SRR12887200	seq00150
SRR16282279	seq00151
SRR6384781	seq00152
SRR6384789	seq00153
HE650783.1_MO-NI-004	seq00154
DRR413354	seq00155
SRR18092286	seq00156
SRR6384774	seq00157
SRR6384795	seq00158
SRR12887180	seq00159
SRR12887197	seq00160
SRR12887209	seq00161
SRR18092182	seq00162
SRR18092189	seq00163
SRR18092194	seq00164
SRR18092202	seq00165
SRR18092210	seq00166
SRR18092241	seq00167
SRR18092244	seq00168
SRR18092258	seq00169
SRR18092267	seq00170
SRR18092279	seq00171
SRR18092280	seq00172
SRR6669152	seq00173
SRR6669172	seq00174
SRR6669181	seq00175
SRR6669202	seq00176
SRR6669204	seq00177
SRR6669216	seq00178
AF207841.1_O-137	seq00179
SRR18092213	seq00180
SRR12887196	seq00181
SRR7503877	seq00182
SRR18092180	seq00183
SRR18092254	seq00184
SRR6669199	seq00185
SRR12887177	seq00186
SRR12887178	seq00187
SRR12887181	seq00188
SRR12887193	seq00189
SRR12887198	seq00190
SRR12887199	seq00191
SRR12887208	seq00192
SRR6669151	seq00193
SRR6669157	seq00194
FJ842892.1_RP9	seq00195
HE578858.1_MO-EI-22	seq00196
HE578844.1_MO-NWI-208	seq00197
SRR12887201	seq00198
SRR12887190	seq00199
SRR12887215	seq00200
HE650797.1_MO-SI-72	seq00201
HE650795.1_MO-SI-67	seq00202
HE650793.1_MO-SI-60	seq00203
HE578853.1_MO-EI-8	seq00204
HE578812.1_MO-NI-028	seq00205
SRR6669171	seq00206
SRR3056583	seq00207
SRR6384780	seq00208
SRR6669205	seq00209
SRR12887179	seq00210
SRR12887194	seq00211
SRR6669177	seq00212
HE650788.1_MO-SI-38	seq00213
SRR18092238	seq00214
SRR6669200	seq00215
HE650796.1_MO-SI-68	seq00216
HE650794.1_MO-SI-62	seq00217
HE650791.1_MO-SI-55	seq00218
HE650790.1_MO-SI-47	seq00219
FJ842886.1_SEF9	seq00220
SRR12887191	seq00221
SRR12887175	seq00222
SRR12887210	seq00223
SRR6384792	seq00224
HE578859.1_MO-EI-23	seq00225
SRR6384807	seq00226
HE578871.1_MO-NI-001	seq00227
SRR6384802	seq00228
DRR445892	seq00229
FJ842875.1_A119	seq00230
DRR445898	seq00231
SRR18092217	seq00232
SRR18092223	seq00233
SRR18092230	seq00234
SRR18092260	seq00235
SRR6384800	seq00236
SRR6669146	seq00237
SRR6669191	seq00238
FJ842876.1_ZN27	seq00239
FJ842874.1_75A19	seq00240
EU055562.1_WJ1	seq00241
91T40	seq00242
92A8_1	seq00243
96M10	seq00244
DREW205	seq00245
SSID113	seq00246
SSID25	seq00247
SSID116	seq00248
15A27_1	seq00249
15L17_1	seq00250
15L22_2	seq00251
XWSEF1	seq00252
XWSEF2	seq00253
XWSEF3	seq00254
XWSEF5	seq00255
XWZN14	seq00256
SRR12887188	seq00257
FJ842884.1_92A8	seq00258
FJ842883.1_93A17	seq00259
FJ842881.1_ZN04	seq00260
85F1	seq00261
FJ842882.1_91A55	seq00262
SRR18092185	seq00263
SRR18092188	seq00264
HE650789.1_MO-SI-42	seq00265
HE578868.1_MO-NWI-204	seq00266
HE650780.1_MO-NWI-205	seq00267
HE578869.1_MO-NWI-205	seq00268
HE578848.1_MO-NWI-42	seq00269
SRR18092171	seq00270
SRR18092204	seq00271
SRR6384803	seq00272
SRR6669145	seq00273
SRR6669155	seq00274
SRR6669170	seq00275
SRR6669208	seq00276
FJ842868.1_49D	seq00277
EU055568.1_YC26	seq00278
HE650778.1_MO-NWI-28	seq00279
HE578863.1_MO-EI-48	seq00280
HE578856.1_MO-EI-14	seq00281
HE578855.1_MO-EI-13	seq00282
HE578849.1_MO-SI-63	seq00283
HE657548.1_MO-EI-15	seq00284
HE578836.1_MO-SI-12	seq00285
HE578832.1_MO-NWI-209	seq00286
HE578823.1_MO-NWI-51	seq00287
HE578821.1_MO-NWI-50	seq00288
59L13	seq00289
429	seq00290
65T4	seq00291
793	seq00292
IB54	seq00293
JX467667-ARB160	seq00294
DRR059884	seq00295
SRR12887168	seq00296
SRR12887169	seq00297
SRR12887172	seq00298
SRR12887214	seq00299
SRR18092181	seq00300
SRR18092186	seq00301
SRR18092193	seq00302
SRR18092195	seq00303
SRR18092209	seq00304
SRR18092216	seq00305
SRR18092225	seq00306
SRR18092227	seq00307
SRR18092234	seq00308
SRR18092237	seq00309
SRR18092255	seq00310
SRR6384768	seq00311
SRR6384777	seq00312
SRR6384788	seq00313
SRR6384799	seq00314
SRR6384805	seq00315
SRR6384809	seq00316
SRR6669138	seq00317
SRR6669158	seq00318
SRR6669159	seq00319
HE650784.1_MO-NI-007	seq00320
SRR6669178	seq00321
SRR6669180	seq00322
SRR6669182	seq00323
SRR6669183	seq00324
SRR6669185	seq00325
SRR6669187	seq00326
SRR6669211	seq00327
SRR6669213	seq00328
SRR6669214	seq00329
AB607335.1_Y93-245C-2	seq00330
15A11_2	seq00331
14A308_2	seq00332
14A24_1	seq00333
SRR6669164	seq00334
SRR24675060	seq00335
DRR059892	seq00336
SRR12887206	seq00337
SRR18092222	seq00338
SRR18092224	seq00339
JX467664-ARB90	seq00340
09A17	seq00341
09A77	seq00342
12A8	seq00343
SSID40	seq00344
14L7-1	seq00345
14L21_1	seq00346
DRR413352	seq00347
SRR6669141	seq00348
FJ842870.1_ZN39	seq00349
FJ842869.1_C12	seq00350
AB607337.1_KEN54-04	seq00351
68A10	seq00352
69T12	seq00353
60	seq00354
14A2_2	seq00355
15A1_1	seq00356
09A41	seq00357
SRR6669147	seq00358
NBAHR2.27	seq00359
09A3	seq00360
SSID13	seq00361
14A15_2	seq00362
DRR445890	seq00363
DRR445893	seq00364
DRR445896	seq00365
SRR12887195	seq00366
SRR18092229	seq00367
SRR6669193	seq00368
FJ842866.1_PTR24	seq00369
FJ842865.1_75A41	seq00370
75A53	seq00371
75L42	seq00372
ZN30	seq00373
SEF8	seq00374
12T3	seq00375
12T6	seq00376
SSID110	seq00377
FJ842864.1_ZN49	seq00378
FJ842863.1_ZN41	seq00379
FJ842867.1_85M5	seq00380
SEF4	seq00381
SRR6669160	seq00382
SRR6669186	seq00383
FJ842862.1_92T5	seq00384
80F1	seq00385
85F15	seq00386
15A3_1	seq00387
SSID12	seq00388
89T6	seq00389
97C86	seq00390
14L35_2	seq00391
SRR12887207	seq00392
SRR18092175	seq00393
SRR18092245	seq00394
SRR18092253	seq00395
SRR18092265	seq00396
SRR18092266	seq00397
SRR18092277	seq00398
SRR6669154	seq00399
SRR6669195	seq00400
SRR6669210	seq00401
FJ842861.1_China20	seq00402
AB520830.1_OS99-G-7A	seq00403
AB607334.1_84R-62B	seq00404
75T51	seq00405
75L26	seq00406
81F2	seq00407
81L14	seq00408
81L31	seq00409
81L19	seq00410
85L1	seq00411
85L5	seq00412
91A38	seq00413
93L7	seq00414
93A2	seq00415
ZN42	seq00416
ZN22	seq00417
PP01031-22	seq00418
IH-1	seq00419
15L13_1	seq00420
15A15_2	seq00421
14L42_3	seq00422
15A5_2	seq00423
XWZN28	seq00424
XWZN44	seq00425
SRR12887185	seq00426
SRR20852133	seq00427
SRR24675057	seq00428
SRR20852132	seq00429
SRR20852131	seq00430
SRR18767170	seq00431
SRR18092284	seq00432
SRR18092283	seq00433
SRR18092282	seq00434
SRR18092281	seq00435
SRR18092278	seq00436
SRR18092276	seq00437
SRR18092275	seq00438
SRR18092273	seq00439
SRR18092272	seq00440
SRR18092271	seq00441
SRR18092270	seq00442
SRR18092261	seq00443
SRR18092259	seq00444
SRR6669179	seq00445
SRR6669175	seq00446
SRR6669174	seq00447
SRR6669163	seq00448
SRR6669162	seq00449
SRR6669161	seq00450
SRR6669156	seq00451
SRR6384806	seq00452
SRR6384804	seq00453
SRR6384801	seq00454
SRR18092256	seq00455
SRR18092252	seq00456
SRR18092251	seq00457
SRR18092250	seq00458
SRR18092243	seq00459
SRR18092242	seq00460
SRR18092240	seq00461
SRR18092239	seq00462
SRR18092233	seq00463
SRR18092226	seq00464
SRR18092221	seq00465
SRR18092220	seq00466
SRR18092219	seq00467
SRR18092215	seq00468
SRR18092214	seq00469
SRR18092212	seq00470
SRR18092211	seq00471
SRR18092208	seq00472
SRR18092207	seq00473
SRR18092206	seq00474
SRR18092205	seq00475
SRR18092201	seq00476
SRR18092200	seq00477
SRR18092199	seq00478
SRR18092198	seq00479
SRR18092197	seq00480
SRR18092196	seq00481
SRR18092192	seq00482
SRR18092191	seq00483
SRR18092187	seq00484
SRR18092183	seq00485
SRR18092179	seq00486
SRR18092177	seq00487
SRR18092176	seq00488
SRR18092174	seq00489
SRR18092172	seq00490
SRR11528297	seq00491
SRR3056613	seq00492
SRR11528298	seq00493
SRR11528299	seq00494
SRR11528300	seq00495
SRR11528301	seq00496
SRR11528302	seq00497
SRR11528303	seq00498
SRR11528304	seq00499
SRR11528305	seq00500
SRR12887171	seq00501
SRR12887173	seq00502
SRR12887182	seq00503
SRR12887184	seq00504
SRR12887187	seq00505
SRR12887189	seq00506
SRR14119017	seq00507
SRR14119028	seq00508
SRR14119029	seq00509
SRR16280147	seq00510
SRR16282278	seq00511
SRR18092170	seq00512
SRR24675066	seq00513
SRR24675067	seq00514
SRR6384782	seq00515
SRR6384786	seq00516
SRR6384790	seq00517
SRR6384793	seq00518
SRR6384797	seq00519
AB607333.1_PO-02-7306	seq00520
SRR6669184	seq00521
SRR6669222	seq00522
SRR6669203	seq00523
SRR6669206	seq00524
SRR6669207	seq00525
SRR6669209	seq00526
SRR6669212	seq00527
SRR6669215	seq00528
SRR6669217	seq00529
SRR6669218	seq00530
HE650782.1_MO-NI-002	seq00531
HE578816.1_MO-NI-26	seq00532
SRR10271357	seq00533
SRR10271356	seq00534
SRR6669201	seq00535
SRR6669198	seq00536
SRR6669189	seq00537
SRR10271355	seq00538
SRR10271354	seq00539
SRR18092257	seq00540
SRR18092268	seq00541
SRR18092269	seq00542
SRR18767172	seq00543
SRR18767173	seq00544
SRR6384778	seq00545
SRR6384787	seq00546
SRR6384771	seq00547
HE650785.1_MO-NI-010	seq00548
HE578873.1_MO-NI-016	seq00549
HE578815.1_MO-NWI-29	seq00550
HE578811.1_MO-EI-26	seq00551
SRR12887203	seq00552
SRR12887192	seq00553
SRR12887202	seq00554
FJ842885.1_81F3	seq00555
SRR18092262	seq00556
SRR24675059	seq00557
FJ842880.1_X54	seq00558
FJ842879.1_X25	seq00559
FJ842878.1_CG3	seq00560
DQ855953-G-1	seq00561
CG4_2008_	seq00562
DQ855955.1_G-78	seq00563
AB607341.1_KANSV1-4-1	seq00564
DQ855954.1_G-223	seq00565
HE578846.1_MO-NWI-54	seq00566
AB607340.1_IN77-20-1-1	seq00567
HE578818.1_MO-NWI-48	seq00568
HE578825.1_MO-NWI-55	seq00569
HE578867.1_MO-NWI-103	seq00570
